last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Gallo, Joey,608336,129,22.4,34.9,115.4,94.8,101.4,82.7,467,239,418,68,12.8,52.7,34,26.4,11.4
Odor, Rougned,596059,346,17.9,30.9,113.1,91.1,96.2,87.1,471,208,404,157,14.1,45.4,47,13.6,8.1
Dahl, David,621311,271,11.2,41,107.1,88.7,93.9,82.4,447,192,405,107,12.8,39.5,28,10.3,6.8
Lowe, Nate,663993,104,13,38.5,114.3,91.3,94.8,89.6,442,178,401,47,15,45.2,11,10.6,6.5
Santana, Danny,542454,329,13.5,38,113.1,91.4,94.7,88.2,448,192,406,144,13.3,43.8,31,9.4,6.1
Dietrich, Derek,518618,179,20.7,34.6,111.7,87.2,93.6,82.9,436,192,393,54,9.2,30.2,18,10.1,5.9
Choo, Shin-Soo,425783,399,9.1,32.1,111.8,91.9,96.7,88.5,472,163,410,195,17.2,48.9,35,8.8,5.3
Guzmán, Ronald,608597,173,14.8,36.4,110.7,85.6,91.6,79.3,447,185,406,63,10.5,36.4,15,8.7,5.1
Calhoun, Willie,641432,258,17.6,35.3,111.9,89.7,92.9,90.1,434,193,393,106,16.9,41.1,16,6.2,4.7
Andrus, Elvis,462101,514,7.2,32.5,110.2,88.4,90.6,87.6,447,154,402,180,15.4,35,17,3.3,2.6
Kiner-Falefa, Isiah,643396,155,6.8,30.3,104.9,87.2,88.9,87.2,397,146,397,53,14.6,34.2,2,1.3,0.9
Mathis, Jeff,425772,142,16.9,29.6,105.5,86.1,90,84,412,177,399,37,7.6,26.1,2,1.4,0.8
